"DIRECTORIO" "SECUENCIA_P" "HOGAR" "departamento" "hogar_urbano" "size" "n_mujeres" "n_menores" "seguridad_social" "no_acceso_medico" "n_analfabeto" "escolaridad_max" "escolaridad_min" "escolaridad_median" "ingreso_laboral" "valor_casa"
4990133 1 1 54 1 2 1 0 0.5 0 2 17 13 15 4200000 4e+08
5045985 1 1 11 1 3 2 1 1 0 3 11 3 11 1008116 5e+07
4981312 1 1 54 1 2 1 0 0.5 0 2 11 10 10.5 1180000 NA
5047765 1 1 76 1 3 1 1 1 0 3 7 1 3 1495000 NA
4967328 1 1 13 1 3 2 0 1 0 3 16 11 11 1700000 1.2e+08
4957387 1 1 66 1 2 1 0 1 0 1 0 0 0 0 3e+07
4931676 1 1 50 1 3 1 0 1 0 3 11 5 11 828000 NA
5006428 1 1 11 1 1 1 0 0 1 1 16 16 16 0 NA
4949209 1 1 15 0 4 1 2 1 0 NA 5 0 2.5 250000 NA
4924508 1 1 68 1 3 2 0 1 0 3 16 11 11 0 1e+08
5069828 1 1 19 1 3 2 0 1 0 3 15 2 11 900000 NA
5066394 1 1 63 1 1 0 0 1 0 0 0 0 0 0 NA
4840686 1 1 47 1 1 0 0 1 0 1 5 5 5 400000 NA
4972221 1 1 54 0 3 1 2 1 0 2 5 0 4 0 NA
5033768 1 1 70 1 5 1 3 1 0 5 11 0 5 1000000 NA
4846437 1 1 47 1 4 1 2 0.5 0 NA 11 0 4 850000 NA
4844961 1 1 54 1 1 1 0 1 0 1 1 1 1 0 NA
4840631 1 1 27 1 4 2 2 1 0 3 16 0 5.5 0 8e+07
4991571 1 1 63 1 1 0 0 1 0 1 2 2 2 780000 NA
4905859 2 2 11 1 1 0 0 1 0 1 11 11 11 1200000 NA
4894973 1 1 17 0 3 2 0 1 0 1 3 0 0 880000 NA
5033355 1 1 66 1 2 1 0 1 0 2 11 3 7 400000 1e+08
4977190 1 1 44 1 4 1 2 1 0 4 8 2 5.5 1000000 NA
4909838 1 1 8 1 4 2 2 1 0 4 16 5 12.5 0 NA
5067183 1 1 5 1 1 1 0 1 0 1 2 2 2 0 NA
4912030 1 1 76 1 4 2 1 1 1 4 11 5 8.5 2680000 NA
5065446 1 1 76 1 2 2 1 1 0 2 7 3 5 876000 NA
4996933 1 1 52 0 2 1 0 1 0 0 0 0 0 180000 NA
4914523 1 1 5 1 7 3 1 1 0 7 11 0 5 1900000 NA
5065291 1 1 73 1 2 0 0 1 0 2 16 10 13 1000000 1.3e+08
4857452 1 1 50 1 2 1 0 1 0 2 9 5 7 900000 1.2e+08
5013821 1 1 18 1 3 3 0 1 0 3 14 5 14 200000 NA
4957594 1 1 68 1 2 1 0 0.5 0 2 16 14 15 1400000 NA
4920727 2 2 5 1 2 2 0 1 0 2 13 5 9 1100000 NA
4934971 1 1 5 1 1 0 0 1 0 1 11 11 11 1100000 NA
4811185 1 1 18 1 3 1 0 1 0 3 16 11 11 900000 7e+07
4955583 1 1 23 1 4 1 2 1 0 3 11 0 9 1000000 NA
4924489 1 1 63 1 3 3 1 0.666666666666667 1 NA 12 0 9 400000 4.8e+07
5022695 1 1 5 1 3 1 1 1 0 3 11 5 11 1756000 NA
4877811 1 1 47 1 3 1 1 1 0 NA 11 0 10 898116 NA
4935878 1 1 70 1 4 2 1 1 0 4 13 4 11 1914000 1.5e+08
5075188 1 1 27 1 1 0 0 1 0 1 13 13 13 700000 NA
5093778 1 1 18 1 3 0 0 1 0 3 12 2 11 900000 NA
4900633 1 1 15 1 2 2 0 1 0 2 11 11 11 950000 NA
4988276 1 1 11 1 1 0 0 1 0 1 22 22 22 3000000 NA
4988885 1 1 18 1 1 0 0 1 0 1 1 1 1 0 NA
4829192 1 1 66 1 2 1 0 1 0 2 12 6 9 1000000 1.5e+08
4957472 1 1 66 1 3 2 0 1 0 3 21 12 16 31500000 1e+08
4974065 1 1 73 1 4 2 2 1 0 3 11 0 5 2400000 NA
4998332 1 1 50 1 3 2 1 1 0 NA 11 0 5 800000 NA
4969845 1 1 20 1 5 2 3 1 0 3 6 0 2 0 NA
4891967 1 1 17 1 4 2 0 0.75 1 4 14 5 8 828116 NA
4950191 1 1 17 1 3 1 1 1 0 3 17 10 14 9000000 NA
4902677 1 1 73 1 3 2 1 1 0 3 14 3 4 0 NA
4915396 1 1 20 1 4 3 2 1 0 NA 11 0 6.5 0 NA
4890307 1 1 19 1 5 3 0 1 0 5 14 2 13 400000 NA
5001648 1 1 50 0 5 4 3 1 0 4 5 0 2 1080000 NA
4990353 1 1 66 1 4 2 2 0.25 0 NA 14 0 3 1200000 NA
5030499 1 1 5 1 4 1 2 1 0 4 13 3 8.5 1300000 NA
4992755 2 2 76 1 3 1 0 1 0 3 11 4 7 1000000 NA
4887776 1 1 54 1 5 3 4 1 0 5 7 2 3 0 NA
5051713 1 1 13 0 3 2 0 1 0 1 8 0 0 1100000 NA
5075953 1 1 25 1 4 3 1 1 0 4 11 0 8 1658116 9e+07
5042058 1 1 47 1 5 3 1 1 0 5 13 8 13 900000 NA
4976940 1 1 41 1 2 2 0 1 0 2 16 16 16 1300000 9e+07
4949606 1 1 11 1 5 1 0 1 0 5 17 2 10 1828116 NA
4836197 1 1 44 1 1 0 0 1 0 1 13 13 13 860000 NA
4809828 1 1 41 1 2 1 0 1 0 2 7 5 6 850000 2e+07
5101930 1 1 15 1 3 1 1 1 0 3 26 11 16 4328116 2e+08
5001860 1 1 68 0 4 2 2 1 0 3 11 0 3 400000 NA
4954189 1 1 11 1 2 1 0 1 0 2 5 5 5 0 NA
5013741 1 1 18 1 2 1 0 1 0 1 2 0 1 0 NA
5025437 1 1 19 1 3 2 1 1 0 NA 13 0 11 1475000 NA
5095661 1 1 66 1 1 1 0 1 0 1 14 14 14 1900000 NA
5065399 1 1 76 1 3 1 0 1 0 3 11 8 11 3700000 NA
4941133 1 1 8 1 3 2 0 1 0 3 11 5 5 1000000 1.2e+08
4889676 1 1 66 1 3 2 0 0.666666666666667 0 3 22 6 22 0 1.6e+08
4926271 1 1 11 1 1 0 0 1 0 1 2 2 2 0 NA
4907417 1 1 70 1 1 1 0 1 0 1 5 5 5 0 5.6e+07
4841676 1 1 18 1 6 5 2 0.833333333333333 0 6 12 5 6 1750000 NA
5075770 1 1 76 1 3 2 1 0 0 NA 6 0 3 170000 NA
4998603 1 1 73 1 1 0 0 1 0 1 14 14 14 1100000 8e+07
5036284 1 1 18 1 3 3 0 1 0 3 11 11 11 310000 NA
5098419 1 1 73 1 4 2 0 1 0 4 17 14 16 0 2e+08
5051692 1 1 13 0 1 0 0 1 0 1 5 5 5 500000 NA
4857539 1 1 50 1 3 1 0 1 0 3 17 16 16 3500000 4e+08
4893581 1 1 73 1 5 1 2 1 0 5 12 7 11 1148116 NA
5069246 1 1 11 1 4 2 0 1 0 4 17 6 13.5 4028116 NA
4961469 1 1 11 1 3 1 0 0.666666666666667 1 3 11 5 11 400000 NA
4874316 1 1 52 1 1 1 0 1 0 1 10 10 10 650000 NA
5054184 1 1 54 1 3 2 1 0.333333333333333 0 3 11 1 3 400000 NA
4855764 1 1 17 1 1 1 0 1 0 1 5 5 5 40000 NA
4949870 1 1 13 1 3 1 1 1 0 2 11 0 1 0 NA
4903792 1 1 13 1 3 1 0 1 0 3 16 5 5 2400000 NA
4943526 1 1 54 1 2 2 1 1 0 2 16 5 10.5 2900000 NA
4894370 1 1 47 1 6 4 0 1 0 5 15 0 6.5 1310000 NA
4827909 1 1 8 1 4 1 2 1 0 NA 14 0 8 7000000 NA
5022524 1 1 63 1 4 2 0 1 0 4 16 5 12.5 3000000 8e+07
4918147 1 1 25 0 2 1 0 1 0 2 11 8 9.5 300000 5e+07
4957422 1 1 66 1 4 3 1 1 0 4 19 6 12 5300000 2.5e+08
5077887 1 1 19 1 4 3 0 1 0 4 16 9 12 1400000 NA
4854094 1 1 20 1 5 3 4 1 0 4 12 0 4 800000 NA
4841648 1 1 18 1 5 3 3 1 0 3 10 0 2 400000 NA
4904085 1 1 19 1 2 1 1 1 0 2 13 9 11 800000 NA
5065137 1 1 70 1 5 2 2 1 0 5 12 9 11 1428116 NA
4897152 1 1 15 0 2 1 0 1 0 2 5 2 3.5 190000 NA
5023457 1 1 15 1 1 1 0 1 0 1 16 16 16 2000000 NA
4818964 1 1 41 1 2 1 0 1 0 2 18 17 17.5 7000000 NA
4955649 1 1 23 1 3 3 2 1 0 1 5 0 0 0 3e+07
5096674 1 1 52 0 3 1 0 1 0 3 3 3 3 1180000 1.5e+08
5013011 1 1 8 1 3 2 0 0 0 3 11 9 11 0 NA
5070797 1 1 50 1 2 1 0 1 0 2 13 2 7.5 872000 NA
4899996 1 1 5 1 6 4 1 1 0 6 16 1 9 3776000 NA
5049672 1 1 18 0 2 1 0 1 0 2 11 5 8 800000 NA
4850208 1 1 63 1 2 1 0 1 0 2 11 5 8 1500000 1e+08
4973712 1 1 63 1 1 0 0 1 0 1 11 11 11 1028116 NA
5015154 1 1 70 1 4 3 0 1 0 4 15 6 12.5 4556232 NA
5053222 1 1 20 1 3 1 1 0.666666666666667 1 3 16 3 11 800000 NA
5032924 1 1 50 1 3 3 2 1 0 2 16 0 8 2000000 NA
5026910 1 1 50 1 4 2 2 1 0 NA 11 0 6 828000 NA
4909276 1 1 52 1 4 3 2 1 0 NA 16 0 6.5 1200000 2.5e+08
4979299 1 1 15 1 2 1 0 1 0 2 17 11 14 2800000 NA
4927066 1 1 27 1 3 2 1 1 0 3 8 8 8 0 NA
4992690 1 1 73 1 2 2 0 1 0 2 16 16 16 0 1.2e+08
5065933 1 1 17 1 3 3 0 1 0 3 18 14 16 4300000 NA
4878795 1 1 41 0 3 2 1 1 0 2 9 0 7 1128000 NA
4890388 1 1 27 1 6 3 4 1 0 NA 11 0 7.5 825000 2e+07
5002834 1 1 52 1 4 3 1 1 0 NA 11 0 6 1656232 NA
4850299 1 1 66 1 1 0 0 1 0 1 16 16 16 700000 NA
5008868 1 1 54 1 2 1 0 1 0 2 11 8 9.5 300000 7e+07
5068588 1 1 47 1 3 3 2 1 0 3 11 8 10 80000 NA
4948091 1 1 19 0 2 1 0 1 0 2 17 5 11 3640000 NA
4946774 1 1 18 0 3 1 0 1 0 2 4 0 1 1250000 1.8e+07
4821255 1 1 18 0 5 2 3 1 0 5 10 2 8 760000 NA
4955664 1 1 23 1 6 2 3 1 0 5 11 0 3 1528116 6e+07
4953276 1 1 8 1 4 2 0 1 0 4 13 5 11 1873000 NA
4817514 1 1 15 1 2 1 0 1 0 2 16 13 14.5 1281242 NA
4995432 1 1 18 1 3 3 0 1 0 3 13 5 11 1828116 NA
5080805 1 1 8 1 4 1 1 1 0 4 11 5 11 700000 NA
4990430 1 1 66 1 3 2 2 1 0 3 11 5 7 0 NA
4912218 1 1 13 1 3 1 0 1 0 1 11 0 0 2000000 NA
4953705 1 1 5 1 3 1 0 1 0 3 16 12 14 3000000 4e+08
4918977 1 1 17 0 4 2 0 0.75 0 3 11 0 3.5 550000 1e+07
4821849 1 1 11 1 7 2 2 0.857142857142857 0 7 11 1 9 4134484 NA
4955019 1 1 18 1 1 1 0 1 0 1 11 11 11 0 NA
4811001 1 1 13 1 5 4 0 1 0 3 6 0 5 670000 6e+07
4887425 1 1 50 1 2 1 0 1 0 2 5 5 5 2000000 4e+07
5040895 1 1 13 1 11 6 4 1 0 10 13 0 5 3140000 NA
4891597 1 1 11 1 2 1 0 1 0 2 9 8 8.5 928116 NA
4851486 1 1 11 1 3 2 0 1 0 3 18 15 17 0 NA
5033627 1 1 68 1 3 1 1 1 0 3 12 3 11 1000000 NA
4958070 1 1 76 1 1 1 0 1 0 1 11 11 11 0 NA
4987995 1 1 5 1 4 2 1 1 0 3 11 0 5.5 2867116 NA
4899898 1 1 5 1 1 0 0 1 0 1 14 14 14 1200000 NA
5022386 1 1 52 0 2 1 0 1 0 2 5 3 4 60000 1.5e+07
5046250 1 1 18 1 1 1 0 1 0 1 4 4 4 0 6.7e+07
5036171 1 1 17 1 3 1 0 1 0 3 17 10 16 2300000 NA
4876824 1 1 17 1 4 2 0 0.75 0 4 13 3 9 2488116 NA
5104242 1 1 68 1 4 2 1 0.25 0 4 16 1 9.5 2600000 NA
5054199 1 1 54 1 3 2 0 1 0 3 16 0 6 1600000 NA
4996548 1 1 70 1 4 4 2 1 0 4 14 3 10 510000 4e+07
5031432 1 1 17 1 3 1 0 1 0 3 7 3 5 1150000 NA
4847688 1 1 63 1 2 2 0 1 0 2 6 3 4.5 0 1e+08
5063319 1 1 13 1 1 1 0 1 0 1 11 11 11 900000 NA
4932090 1 1 63 1 4 1 0 0.75 0 4 13 8 10 2410000 8e+07
5095826 1 1 68 1 7 4 1 0.857142857142857 1 6 16 0 5 3300000 1.8e+07
4912095 1 1 19 0 3 1 0 0.666666666666667 0 3 5 5 5 980000 NA
5006416 1 1 11 1 2 1 0 1 2 2 3 3 3 1080000 NA
4906491 1 1 20 1 3 2 1 1 0 NA 16 0 13 5500000 NA
4895820 1 1 76 1 5 1 0 1 0 5 13 5 11 2856232 NA
5023676 1 1 41 1 2 0 0 1 0 2 13 11 12 1084000 NA
5097498 1 1 5 1 3 2 0 1 0 3 16 11 15 0 4e+08
4956408 1 1 47 1 3 2 1 1 0 3 9 5 8 886000 NA
5017906 1 1 54 1 4 2 2 1 0 3 14 0 9.5 1900000 NA
5072935 1 1 50 1 2 1 0 1 0 2 11 2 6.5 0 NA
5006157 1 1 8 1 2 1 0 1 0 2 11 11 11 1140000 NA
4929421 1 1 8 1 3 1 0 1 0 3 13 11 11 1600000 NA
4899452 1 1 76 0 2 0 0 1 0 2 3 3 3 5500000 NA
4852394 1 1 41 1 4 3 1 1 0 3 16 0 13.5 1500000 NA
4809134 1 1 66 1 2 2 1 1 0 2 8 4 6 0 NA
4863987 1 1 68 1 3 1 0 1 0 3 14 11 11 2668100 NA
5003935 1 1 11 1 5 4 1 1 0 5 15 6 11 7498116 NA
4835414 1 1 47 1 9 4 5 0.888888888888889 0 NA 13 0 8 1670116 NA
4990075 1 1 52 1 4 1 1 1 0 4 16 4 14.5 950000 NA
4961896 1 1 18 1 2 1 0 1 0 2 5 2 3.5 1000000 NA
5070658 1 1 47 1 5 3 2 1 0 4 11 0 11 828116 NA
5080394 1 1 5 1 2 1 0 1 0 2 13 11 12 0 1.5e+08
5018078 1 1 66 1 3 2 0 1 0 3 14 6 7 100000 NA
5073143 1 1 76 1 2 2 1 1 0 2 8 2 5 0 NA
4961155 1 1 8 1 6 2 1 1 0 6 13 3 11 2240000 3e+08
4943830 1 1 66 1 2 1 0 1 0 2 13 11 12 1628116 1.5e+08
4984733 1 1 8 1 8 4 3 1 0 8 10 0 7 2350000 NA
4996118 1 1 47 1 4 3 1 1 0 3 11 0 11 700000 NA
4971520 1 1 47 1 4 0 1 0.75 0 4 16 3 10.5 1800000 NA
4830292 1 1 15 1 3 1 2 1 1 2 11 2 5 0 NA
4809122 1 1 66 1 3 1 1 1 0 NA 16 0 13 1681242 NA
4997989 1 1 17 1 1 1 0 1 1 1 11 11 11 0 NA
4933866 1 1 15 1 1 0 0 1 0 1 11 11 11 2000000 NA
5040314 1 1 66 0 5 1 3 1 0 4 10 0 5 1000000 6e+07
5074881 1 1 13 1 5 2 2 1 0 5 11 5 7 1100000 NA
4842357 1 1 70 1 4 3 2 1 0 3 11 0 4.5 600000 NA
5004287 2 2 20 1 3 2 1 1 0 NA 13 0 13 720000 NA
5042521 1 1 68 1 2 2 0 1 0 2 9 5 7 500000 NA
4878457 2 2 76 1 4 2 1 1 0 4 14 5 10.5 2800000 NA
5076440 1 1 50 1 3 3 0 0.333333333333333 0 3 11 6 10 1000000 NA
5029472 1 1 66 1 1 1 0 1 0 1 11 11 11 950000 NA
4847343 1 1 19 1 7 5 4 1 0 7 10 1 6 380000 NA
4917384 1 1 66 1 6 2 1 1 0 6 11 2 6 2500000 4.5e+07
5039764 1 1 63 1 2 1 0 1 0 1 2 0 1 1040000 NA
5011668 1 1 68 0 4 2 2 1 0 4 11 0 5 1028000 NA
5033103 1 1 54 1 4 3 2 1 0 3 11 0 2.5 150000 NA
4806278 1 1 27 1 3 3 0 1 0 3 16 12 16 0 NA
4944112 1 1 70 1 3 1 1 1 0 3 10 5 5 700000 5e+08
4989383 1 1 27 1 6 4 1 0.833333333333333 0 5 16 0 14.5 2500000 1.6e+08
4959466 1 1 68 1 2 1 1 1 0 2 2 2 2 500000 5e+07
5080465 1 1 5 1 1 0 0 1 0 1 11 11 11 1400000 NA
5081813 1 1 19 1 8 4 1 1 0 8 13 3 5 400000 NA
4857262 1 1 47 1 3 2 1 1 0 3 14 11 11 0 NA
5037556 1 1 54 1 5 4 2 1 0 5 13 3 6 1800000 NA
5006852 1 1 17 1 2 1 0 1 0 2 9 5 7 400000 NA
4975193 1 1 8 1 4 2 2 1 0 3 11 0 5.5 1089000 NA
4900013 1 1 5 1 5 3 2 0 0 5 11 1 9 1200000 NA
